x1	x0	Q2	Q1	Q0	y
0	1	0	0	0	0
0	0	0	0	0	0
0	1	0	0	0	0
1	1	1	0	0	0
1	0	1	1	0	0
0	0	0	1	1	1
0	1	0	0	0	0
1	1	1	0	0	0
1	0	1	1	0	0
0	0	0	1	1	1
0	1	0	0	0	0
1	1	1	0	0	0
0	1	0	1	0	0
0	0	0	0	0	0
0	1	0	0	0	0
1	1	1	0	0	0
1	0	1	1	0	0
1	1	0	1	0	0
0	1	0	1	0	0
1	1	0	1	0	0
1	0	0	1	0	0
0	0	0	0	0	0
0	1	0	0	0	0
1	1	1	0	0	0
1	0	1	1	0	0
1	1	0	1	0	0
1	0	0	1	0	0
0	0	0	0	0	0
1	0	0	1	0	0
1	1	0	1	0	0
1	0	0	1	0	0
0	0	0	0	0	0
